	airport	animal	beach	bear	birds	boats	book	bridge	buildings	cars	castle	cat	cityscape	clouds	computer	coral	cow	dancing	dog	earthq	elk	fire	fish	flags	flowers	food	fox	frost	garden	glacier	grass	harbor	horses	house	lake	leaf	map	military	moon	mountain	nighttime	ocean	person	plane	plants	police	protest	railroad	rainbow	reflection	road	rocks	running	sand	sign	sky	snow	soccer	sports	statue	street	sun	sunset	surf	swimmers	tattoo	temple	tiger	tower	town	toy	train	tree	valley	vehicle	water	waterfall	wedding	whales	window	zebra
ocean	0.94	0.76	0.40	0.93	0.85	0.57	1.00	0.78	0.84	0.95	0.91	0.95	0.89	0.43	1.00	0.64	0.94	0.93	0.91	1.00	1.00	0.90	0.68	0.91	0.95	0.98	0.96	0.93	0.96	0.83	0.85	0.75	0.94	0.86	0.39	0.94	0.91	0.81	0.84	0.74	0.87	1.00	0.78	0.90	0.89	0.94	1.00	0.95	0.86	0.72	0.88	0.63	0.90	0.73	0.95	0.41	0.82	1.00	0.83	0.91	0.96	0.61	0.54	0.52	0.77	0.96	0.92	0.97	0.89	0.93	0.93	0.94	0.87	0.77	0.79	0.29	0.94	0.90	0.60	0.91	1.00	
person	0.88	0.82	0.75	0.92	0.94	0.86	0.88	0.90	0.79	0.79	0.92	0.90	0.91	0.75	0.74	0.90	0.90	0.51	0.83	0.69	0.94	0.75	0.90	0.76	0.92	0.89	0.87	0.90	0.88	0.92	0.73	0.94	0.74	0.90	0.83	0.90	1.00	0.65	0.93	0.90	0.85	0.78	1.00	0.86	0.90	0.54	0.50	0.86	0.91	0.88	0.68	0.89	0.62	0.80	0.90	0.69	0.84	0.53	0.52	0.85	0.65	0.84	0.84	0.68	0.58	0.56	0.81	0.90	0.92	0.82	0.86	0.86	0.90	0.90	0.76	0.73	0.92	0.56	0.91	0.73	0.88	
plane	0.32	0.97	0.94	0.97	0.98	0.96	1.00	0.96	0.90	0.97	0.94	0.97	0.96	0.54	0.96	1.00	1.00	1.00	1.00	1.00	1.00	0.86	1.00	1.00	1.00	1.00	1.00	1.00	0.98	1.00	0.83	1.00	1.00	0.97	0.92	1.00	1.00	0.45	0.87	0.94	0.95	0.90	0.86	1.00	0.96	0.97	1.00	0.97	0.94	0.96	0.79	0.95	1.00	0.94	0.95	0.51	0.91	1.00	1.00	1.00	1.00	0.88	0.84	1.00	1.00	1.00	1.00	1.00	0.96	1.00	0.94	0.95	0.96	0.93	0.67	0.88	1.00	1.00	0.96	0.78	0.95	
plants	0.95	0.82	0.89	0.93	0.91	0.92	1.00	0.88	0.83	0.91	0.86	0.94	0.94	0.63	0.97	0.92	0.89	0.96	0.93	1.00	0.84	0.91	0.96	1.00	0.38	0.84	0.86	0.77	0.59	0.89	0.51	0.95	0.87	0.73	0.77	0.64	1.00	0.95	0.93	0.71	0.92	0.89	0.90	0.96	1.00	0.94	1.00	0.87	0.79	0.76	0.80	0.78	0.94	0.87	0.93	0.58	0.80	0.94	0.94	0.92	0.93	0.81	0.80	0.93	1.00	0.92	0.88	0.93	0.92	0.91	0.94	0.90	0.56	0.69	0.91	0.71	0.77	0.90	0.96	0.85	1.00	
police	0.93	0.91	1.00	1.00	1.00	0.93	1.00	0.96	0.81	0.81	0.95	1.00	0.97	0.86	1.00	1.00	0.96	0.96	0.97	0.91	0.96	0.89	1.00	1.00	1.00	1.00	1.00	1.00	0.96	0.95	0.88	1.00	0.87	0.94	0.95	1.00	1.00	0.76	1.00	0.95	0.88	0.94	0.54	0.97	0.94	1.00	0.81	0.96	1.00	0.97	0.68	0.97	0.95	1.00	0.90	0.78	0.96	1.00	0.94	1.00	0.81	0.96	0.97	1.00	1.00	1.00	1.00	1.00	1.00	0.89	0.94	1.00	0.96	0.94	0.71	0.91	1.00	1.00	1.00	0.72	1.00	
protest	1.00	0.97	1.00	1.00	1.00	1.00	1.00	0.96	0.82	1.00	0.95	1.00	1.00	0.89	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.79	1.00	1.00	1.00	1.00	1.00	1.00	0.92	1.00	0.96	1.00	1.00	1.00	1.00	0.92	1.00	1.00	0.97	1.00	0.50	1.00	1.00	0.81	1.00	1.00	1.00	1.00	0.81	1.00	1.00	1.00	0.90	0.79	1.00	1.00	1.00	1.00	0.86	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.91	1.00	1.00	0.96	1.00	0.88	0.96	1.00	1.00	1.00	0.88	1.00	
railroad	1.00	0.98	1.00	1.00	1.00	0.97	1.00	0.76	0.85	0.76	1.00	1.00	0.92	0.68	1.00	1.00	1.00	1.00	0.97	1.00	1.00	0.94	1.00	1.00	0.97	1.00	1.00	0.93	0.94	1.00	0.78	1.00	1.00	0.92	0.94	1.00	1.00	1.00	0.96	0.91	0.89	0.95	0.86	0.97	0.87	0.96	1.00	1.00	1.00	0.94	0.84	0.90	1.00	0.97	0.95	0.60	0.84	1.00	1.00	1.00	0.97	0.92	0.91	1.00	1.00	1.00	1.00	1.00	0.95	0.92	0.97	0.36	0.92	0.95	0.75	0.89	1.00	0.96	1.00	0.77	1.00	
rainbow	0.92	0.92	0.89	1.00	1.00	0.94	1.00	1.00	0.81	1.00	1.00	1.00	0.92	0.55	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.93	1.00	1.00	0.96	1.00	1.00	1.00	0.92	1.00	0.73	0.94	1.00	0.91	0.80	1.00	1.00	0.93	1.00	0.81	1.00	0.86	0.91	0.94	0.79	1.00	1.00	1.00	1.00	0.91	0.89	0.88	0.94	0.95	0.95	0.50	0.94	1.00	0.95	0.95	1.00	0.96	0.91	1.00	1.00	0.94	1.00	1.00	1.00	0.94	1.00	1.00	0.91	0.82	0.96	0.73	0.85	1.00	1.00	0.89	1.00	
reflection	0.97	0.85	0.74	0.96	0.88	0.59	1.00	0.70	0.66	0.97	0.82	0.96	0.70	0.51	1.00	0.93	0.90	1.00	0.93	1.00	0.93	0.89	0.95	1.00	0.90	0.98	0.94	0.89	0.77	0.79	0.74	0.60	0.96	0.76	0.39	0.94	1.00	0.94	0.87	0.70	0.71	0.72	0.88	0.96	0.76	0.97	1.00	0.94	0.91	1.00	0.86	0.72	1.00	0.91	0.98	0.46	0.83	1.00	0.97	0.94	0.92	0.72	0.62	1.00	1.00	1.00	0.84	0.93	0.84	0.77	0.94	0.96	0.76	0.70	0.83	0.33	0.97	0.92	1.00	0.83	1.00	
road	0.68	0.85	0.90	0.93	0.93	0.94	1.00	0.78	0.68	0.61	0.92	0.93	0.78	0.63	0.94	0.95	0.94	0.94	0.91	1.00	0.94	0.86	0.95	0.90	0.93	0.98	0.94	0.88	0.85	0.93	0.72	0.93	0.92	0.81	0.86	0.93	1.00	0.82	0.92	0.83	0.70	0.88	0.68	0.79	0.80	0.68	0.81	0.84	0.89	0.86	1.00	0.87	0.84	0.86	0.86	0.59	0.81	0.94	0.88	0.94	0.59	0.87	0.85	0.95	1.00	0.96	0.92	0.96	0.88	0.74	0.91	0.84	0.80	0.83	0.57	0.81	0.95	0.91	1.00	0.64	0.92	
rocks	0.97	0.85	0.64	0.94	0.92	0.87	1.00	0.86	0.86	0.98	0.84	1.00	0.96	0.54	1.00	0.90	0.94	0.96	0.96	0.88	0.94	0.94	0.94	0.96	0.93	0.96	0.92	0.88	0.87	0.60	0.73	0.95	0.94	0.84	0.59	0.92	1.00	0.94	0.94	0.49	0.92	0.63	0.89	0.95	0.78	0.97	1.00	0.90	0.88	0.72	0.87	1.00	1.00	0.79	0.95	0.49	0.68	0.94	0.91	0.90	1.00	0.85	0.77	0.92	0.96	0.96	0.87	0.93	0.91	0.95	0.96	0.92	0.85	0.50	0.93	0.50	0.59	0.96	0.96	0.93	1.00	
running	1.00	0.63	0.85	1.00	0.96	1.00	1.00	0.96	0.93	1.00	1.00	0.94	1.00	0.87	1.00	0.95	0.95	0.95	0.71	1.00	0.91	1.00	1.00	1.00	0.96	1.00	0.94	0.95	1.00	1.00	0.71	1.00	0.74	1.00	0.96	1.00	1.00	0.93	1.00	1.00	0.96	0.90	0.62	1.00	0.94	0.95	1.00	1.00	0.94	1.00	0.84	1.00	1.00	0.90	1.00	0.79	0.88	0.78	0.71	0.93	0.92	0.94	1.00	1.00	0.92	1.00	1.00	1.00	1.00	0.96	0.94	1.00	0.94	0.96	0.96	0.84	1.00	1.00	1.00	0.93	0.93	
sand	0.95	0.74	0.61	0.95	0.94	0.89	1.00	0.95	0.91	0.91	0.92	0.97	0.97	0.59	0.96	0.93	0.89	0.94	0.93	0.91	0.95	0.95	0.96	0.95	1.00	1.00	0.96	0.94	0.95	0.96	0.78	0.96	0.86	0.88	0.81	0.96	1.00	0.91	0.94	0.85	0.96	0.73	0.80	0.94	0.87	1.00	1.00	0.97	0.95	0.91	0.86	0.79	0.90	1.00	0.95	0.56	0.88	1.00	0.89	0.97	0.97	0.87	0.83	1.00	0.94	1.00	0.95	0.96	0.97	0.97	0.95	0.93	0.87	0.84	0.92	0.72	1.00	0.94	1.00	0.94	0.91	
sign	1.00	0.95	0.95	1.00	1.00	0.97	1.00	0.97	0.81	0.94	1.00	1.00	1.00	0.77	1.00	1.00	1.00	1.00	1.00	1.00	0.96	1.00	1.00	0.93	1.00	1.00	1.00	0.96	1.00	0.95	0.87	1.00	1.00	0.95	0.96	1.00	1.00	0.97	0.95	0.94	0.87	0.95	0.90	0.95	0.93	0.90	0.90	0.95	0.95	0.98	0.86	0.95	1.00	0.95	1.00	0.71	0.94	1.00	1.00	1.00	0.91	0.97	0.96	1.00	1.00	1.00	1.00	1.00	0.93	0.92	0.96	1.00	1.00	0.95	0.92	0.93	1.00	0.97	1.00	0.86	1.00	
sky	0.54	0.71	0.45	0.91	0.71	0.49	0.93	0.55	0.43	0.70	0.53	0.90	0.53	0.15	0.92	0.83	0.66	0.85	0.83	0.68	0.82	0.66	0.89	0.67	0.79	0.95	0.89	0.66	0.64	0.55	0.49	0.51	0.69	0.49	0.38	0.84	1.00	0.58	0.52	0.43	0.59	0.41	0.69	0.51	0.58	0.78	0.79	0.60	0.50	0.46	0.59	0.49	0.79	0.56	0.71	1.00	0.55	0.82	0.75	0.71	0.69	0.43	0.37	0.78	0.76	0.91	0.60	0.89	0.49	0.58	0.83	0.61	0.52	0.44	0.59	0.37	0.82	0.77	0.75	0.58	0.90	
snow	0.92	0.75	0.89	0.87	0.91	0.91	1.00	0.90	0.80	0.88	0.94	0.94	0.92	0.60	1.00	1.00	0.91	0.97	0.86	0.91	0.78	0.97	0.97	0.93	0.95	0.98	0.86	0.49	0.93	0.55	0.88	0.96	0.87	0.79	0.76	0.95	1.00	0.92	0.90	0.56	0.90	0.82	0.84	0.91	0.80	0.96	1.00	0.84	0.94	0.83	0.81	0.68	0.88	0.88	0.94	0.55	1.00	1.00	0.90	0.93	0.90	0.84	0.85	1.00	0.93	1.00	0.94	0.93	0.91	0.89	0.91	0.86	0.70	0.65	0.87	0.72	0.92	0.94	0.96	0.81	0.96	
soccer	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00	1.00	1.00	0.88	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	0.57	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.53	1.00	0.94	1.00	1.00	1.00	1.00	1.00	0.94	0.94	0.78	1.00	1.00	0.82	1.00	1.00	0.56	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	0.94	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	
sports	1.00	0.90	0.89	1.00	0.97	0.94	1.00	1.00	0.95	0.89	0.96	1.00	1.00	0.80	1.00	0.97	1.00	0.80	1.00	1.00	1.00	0.95	0.97	0.95	0.98	1.00	0.93	0.97	0.96	0.96	0.71	1.00	0.86	0.95	0.90	1.00	1.00	0.96	1.00	0.95	0.92	0.83	0.52	1.00	0.94	0.94	1.00	1.00	0.95	0.97	0.88	0.91	0.71	0.89	1.00	0.75	0.90	0.56	1.00	1.00	0.95	0.96	0.95	0.63	0.74	1.00	1.00	1.00	0.96	0.97	0.93	1.00	0.93	0.94	0.90	0.74	1.00	0.94	1.00	0.94	0.93	
statue	1.00	0.91	0.94	1.00	0.96	1.00	1.00	0.97	0.83	1.00	0.95	0.97	0.92	0.75	1.00	0.96	1.00	0.96	1.00	1.00	1.00	1.00	0.96	1.00	0.96	0.97	0.95	0.96	0.88	1.00	0.86	1.00	0.96	0.93	0.96	0.93	1.00	1.00	0.94	0.94	0.94	0.91	0.85	1.00	0.92	1.00	1.00	1.00	0.95	0.94	0.94	0.90	0.93	0.97	1.00	0.71	0.93	1.00	1.00	1.00	0.95	0.93	0.91	1.00	1.00	1.00	0.78	1.00	0.92	0.93	0.88	1.00	0.95	0.97	0.96	0.87	1.00	0.92	1.00	0.88	1.00	
street	1.00	0.94	1.00	1.00	1.00	0.94	1.00	0.93	0.58	0.78	0.96	0.95	0.80	0.78	1.00	1.00	1.00	0.95	0.94	1.00	1.00	0.92	1.00	0.91	0.97	1.00	1.00	0.95	0.93	1.00	0.92	0.92	0.96	0.87	0.96	0.96	1.00	0.97	0.97	0.96	0.75	0.96	0.65	1.00	0.93	0.81	0.86	0.97	1.00	0.92	0.59	1.00	0.92	0.97	0.91	0.69	0.90	1.00	0.95	0.95	1.00	0.94	0.92	1.00	1.00	0.96	0.95	1.00	0.93	0.61	0.97	0.91	0.93	1.00	0.81	0.90	1.00	0.94	1.00	0.62	1.00	
sun	0.94	0.87	0.72	1.00	0.93	0.80	1.00	0.84	0.87	0.95	0.96	1.00	0.92	0.45	1.00	0.95	0.97	0.92	0.97	0.91	1.00	0.86	0.97	0.96	0.92	0.98	0.96	0.89	0.92	0.94	0.81	0.86	0.91	0.92	0.60	0.94	1.00	0.94	0.75	0.83	0.91	0.61	0.84	0.88	0.81	0.96	1.00	0.92	0.96	0.72	0.87	0.85	0.94	0.87	0.97	0.43	0.84	1.00	0.96	0.93	0.94	1.00	0.37	0.94	1.00	1.00	0.90	0.96	0.88	0.95	0.96	0.94	0.76	0.86	0.91	0.58	1.00	0.93	0.96	0.95	1.00	
sunset	0.88	0.85	0.64	1.00	0.90	0.72	1.00	0.79	0.78	0.92	0.91	1.00	0.80	0.38	1.00	0.92	0.91	0.92	0.96	1.00	0.94	0.83	0.98	0.92	0.94	1.00	1.00	0.91	0.90	0.89	0.79	0.74	0.90	0.86	0.50	0.96	1.00	0.92	0.82	0.78	0.83	0.54	0.84	0.84	0.80	0.97	1.00	0.91	0.91	0.62	0.85	0.77	1.00	0.83	0.96	0.37	0.85	1.00	0.95	0.91	0.92	0.37	1.00	0.93	0.96	1.00	0.87	0.97	0.83	0.88	0.93	0.93	0.74	0.81	0.87	0.50	0.97	0.88	0.96	0.91	0.96	
surf	1.00	0.92	0.88	1.00	1.00	0.92	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.82	1.00	0.88	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	0.94	1.00	0.90	1.00	1.00	1.00	0.69	1.00	1.00	1.00	1.00	1.00	0.94	0.52	0.68	1.00	0.93	1.00	1.00	1.00	1.00	1.00	0.95	0.92	1.00	1.00	1.00	0.78	1.00	1.00	0.63	1.00	1.00	0.94	0.93	1.00	0.93	1.00	1.00	1.00	1.00	1.00	1.00	0.93	0.95	0.92	0.95	0.48	0.93	1.00	1.00	1.00	1.00	
swimmers	1.00	0.91	0.84	1.00	1.00	1.00	1.00	1.00	0.97	1.00	1.00	1.00	1.00	0.82	1.00	0.80	1.00	1.00	1.00	1.00	1.00	1.00	0.90	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00	1.00	1.00	0.86	1.00	1.00	0.96	1.00	1.00	1.00	0.77	0.58	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.96	0.92	0.94	1.00	0.76	0.93	1.00	0.74	1.00	1.00	1.00	0.96	0.93	1.00	0.94	1.00	1.00	0.96	1.00	0.94	1.00	1.00	0.96	1.00	0.52	1.00	1.00	1.00	0.94	1.00	
tattoo	1.00	0.96	0.93	1.00	1.00	1.00	1.00	1.00	0.96	0.95	1.00	1.00	1.00	0.93	1.00	1.00	1.00	0.95	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	0.91	1.00	1.00	1.00	0.96	1.00	1.00	0.94	1.00	1.00	0.94	0.96	0.56	1.00	0.92	1.00	1.00	1.00	0.94	1.00	0.96	0.96	1.00	1.00	1.00	0.91	1.00	1.00	1.00	1.00	0.96	1.00	1.00	1.00	0.94	1.00	1.00	1.00	0.96	1.00	1.00	1.00	0.92	1.00	1.00	0.90	1.00	0.93	1.00	0.95	1.00	
temple	1.00	0.96	0.95	1.00	1.00	0.96	1.00	1.00	0.65	0.97	0.82	0.96	0.91	0.66	1.00	1.00	1.00	1.00	0.97	1.00	1.00	0.96	1.00	1.00	0.97	1.00	0.96	1.00	0.84	1.00	0.85	1.00	0.97	0.93	0.88	0.96	1.00	0.97	0.93	0.92	0.90	0.92	0.81	1.00	0.88	1.00	1.00	1.00	1.00	0.84	0.92	0.87	1.00	0.95	1.00	0.60	0.94	1.00	1.00	0.78	0.95	0.90	0.87	1.00	1.00	1.00	1.00	1.00	0.83	0.91	0.92	1.00	0.91	0.94	0.98	0.83	1.00	0.97	1.00	0.82	1.00	
tiger	1.00	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.82	1.00	0.96	1.00	1.00	1.00	1.00	0.96	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.95	1.00	1.00	1.00	0.80	1.00	1.00	1.00	0.92	0.89	1.00	1.00	1.00	1.00	1.00	0.97	0.90	1.00	0.93	1.00	1.00	1.00	1.00	0.93	0.96	0.93	1.00	0.96	1.00	0.89	0.93	1.00	1.00	1.00	1.00	0.96	0.97	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.97	1.00	0.97	0.84	1.00	0.96	1.00	0.97	1.00	
tower	0.93	1.00	0.92	1.00	1.00	0.90	0.95	0.83	0.56	0.94	0.78	1.00	0.66	0.54	1.00	0.97	1.00	1.00	1.00	1.00	1.00	0.91	1.00	0.93	0.96	1.00	0.96	0.97	0.91	1.00	0.86	0.91	1.00	0.90	0.84	1.00	1.00	1.00	0.87	0.93	0.71	0.89	0.92	0.96	0.92	1.00	1.00	0.95	1.00	0.84	0.88	0.91	1.00	0.97	0.93	0.49	0.91	1.00	0.96	0.92	0.93	0.88	0.83	1.00	0.96	0.96	0.83	1.00	1.00	0.84	0.96	0.94	0.93	0.93	0.94	0.79	1.00	0.96	1.00	0.80	1.00	
town	1.00	0.95	0.95	1.00	0.98	0.80	1.00	0.85	0.47	0.85	0.88	0.95	0.73	0.67	1.00	1.00	1.00	1.00	1.00	0.91	1.00	0.93	1.00	0.93	0.93	1.00	1.00	1.00	0.84	1.00	0.86	0.79	0.97	0.71	0.82	0.97	1.00	0.96	0.92	0.93	0.77	0.93	0.82	1.00	0.91	0.89	0.91	0.92	0.94	0.77	0.74	0.95	0.96	0.97	0.92	0.58	0.89	1.00	0.97	0.93	0.61	0.95	0.88	1.00	1.00	1.00	0.91	1.00	0.84	1.00	0.96	0.93	0.92	0.94	0.82	0.74	0.94	1.00	1.00	0.54	0.95	
toy	1.00	0.89	0.96	0.86	0.95	0.94	0.88	0.96	0.92	0.89	1.00	0.93	1.00	0.87	0.94	1.00	1.00	0.97	0.88	1.00	1.00	0.93	0.97	0.95	0.95	0.87	0.96	0.95	0.96	0.94	0.90	1.00	0.96	0.95	0.93	0.92	0.91	0.95	0.97	0.96	0.98	0.93	0.86	0.94	0.94	0.94	1.00	0.97	1.00	0.94	0.91	0.96	0.94	0.95	0.96	0.83	0.91	0.94	0.93	0.88	0.97	0.96	0.93	1.00	0.94	1.00	0.92	1.00	0.96	0.96	1.00	0.92	0.96	0.96	0.92	0.89	1.00	0.93	1.00	0.90	0.95	
train	1.00	1.00	1.00	1.00	1.00	0.95	1.00	0.84	0.87	0.70	0.95	1.00	0.94	0.68	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.97	1.00	1.00	0.93	0.95	1.00	0.83	1.00	1.00	0.92	0.95	1.00	1.00	0.95	0.96	0.93	0.87	0.94	0.86	0.95	0.90	1.00	1.00	0.36	1.00	0.96	0.84	0.92	1.00	0.93	1.00	0.61	0.86	1.00	1.00	1.00	0.91	0.94	0.93	0.93	1.00	1.00	1.00	1.00	0.94	0.93	0.92	1.00	0.93	0.95	0.67	0.90	1.00	1.00	1.00	0.71	1.00	
tree	1.00	0.89	0.89	1.00	0.97	0.93	1.00	0.91	0.85	0.96	0.90	0.98	0.94	0.60	1.00	0.97	0.90	1.00	0.97	1.00	0.96	0.93	0.98	1.00	0.88	1.00	0.94	0.68	0.70	0.90	0.61	0.95	0.93	0.81	0.78	0.90	1.00	0.96	0.87	0.83	0.91	0.87	0.90	0.96	0.56	0.96	0.96	0.92	0.91	0.76	0.80	0.85	0.94	0.87	1.00	0.52	0.70	0.94	0.93	0.95	0.93	0.76	0.74	0.95	1.00	0.92	0.91	0.97	0.93	0.92	0.96	0.93	1.00	0.84	0.93	0.73	0.91	0.93	1.00	0.89	1.00	
valley	0.94	0.87	0.84	1.00	0.96	0.87	1.00	0.91	0.85	0.95	0.93	1.00	0.95	0.48	1.00	0.94	0.87	0.95	1.00	1.00	0.93	0.94	1.00	0.96	0.92	1.00	1.00	0.89	0.85	0.57	0.60	0.93	0.93	0.79	0.61	0.97	1.00	0.94	0.88	0.29	0.94	0.77	0.90	0.93	0.69	0.94	1.00	0.95	0.82	0.70	0.83	0.50	0.96	0.84	0.95	0.44	0.65	1.00	0.94	0.97	1.00	0.86	0.81	0.92	0.96	1.00	0.94	1.00	0.93	0.94	0.96	0.95	0.84	1.00	0.93	0.61	0.84	0.94	1.00	0.94	1.00	
vehicle	0.60	0.95	0.90	0.97	0.98	0.65	1.00	0.89	0.76	0.51	0.94	0.98	0.90	0.64	1.00	1.00	1.00	0.97	0.94	1.00	0.97	0.92	1.00	0.93	0.97	1.00	1.00	0.95	0.93	0.96	0.77	0.75	0.98	0.84	0.79	1.00	1.00	0.69	0.97	0.92	0.85	0.79	0.76	0.67	0.91	0.71	0.88	0.75	0.96	0.83	0.57	0.93	0.96	0.92	0.92	0.59	0.87	1.00	0.90	0.96	0.81	0.91	0.87	0.95	1.00	1.00	0.98	0.97	0.94	0.82	0.92	0.67	0.93	0.93	1.00	0.71	1.00	0.94	1.00	0.54	0.91	
water	0.90	0.68	0.41	0.77	0.75	0.42	1.00	0.58	0.66	0.91	0.80	0.92	0.67	0.40	1.00	0.55	0.87	0.91	0.84	1.00	0.87	0.82	0.55	0.89	0.85	0.91	0.92	0.80	0.75	0.66	0.71	0.49	0.89	0.72	0.26	0.82	1.00	0.79	0.79	0.61	0.69	0.29	0.73	0.88	0.71	0.91	0.96	0.89	0.73	0.33	0.81	0.50	0.84	0.72	0.93	0.37	0.72	1.00	0.74	0.87	0.90	0.58	0.50	0.48	0.52	0.90	0.83	0.84	0.79	0.74	0.89	0.90	0.73	0.61	0.71	1.00	0.50	0.85	0.48	0.80	0.92	
waterfall	1.00	0.96	0.96	1.00	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00	1.00	0.89	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.97	1.00	1.00	1.00	0.91	1.00	0.83	1.00	1.00	0.95	0.78	0.93	1.00	1.00	1.00	0.80	1.00	0.94	0.92	1.00	0.77	1.00	1.00	1.00	0.85	0.97	0.95	0.59	1.00	1.00	1.00	0.82	0.92	1.00	1.00	1.00	1.00	1.00	0.97	0.93	1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00	0.91	0.84	1.00	0.50	1.00	1.00	1.00	0.97	1.00	
wedding	1.00	0.91	0.87	0.96	0.97	0.94	1.00	0.95	0.91	0.94	0.95	1.00	0.96	0.78	1.00	1.00	1.00	0.87	0.93	1.00	1.00	0.93	1.00	1.00	0.89	0.93	1.00	1.00	0.93	1.00	0.82	1.00	0.97	0.97	0.91	0.95	1.00	0.94	1.00	0.96	0.97	0.90	0.56	1.00	0.90	1.00	1.00	0.96	1.00	0.92	0.91	0.96	1.00	0.94	0.97	0.77	0.94	1.00	0.94	0.92	0.94	0.93	0.88	1.00	1.00	0.93	0.97	0.96	0.96	1.00	0.93	1.00	0.93	0.94	0.94	0.85	1.00	1.00	1.00	0.89	1.00	
whales	1.00	0.48	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.81	1.00	0.79	1.00	1.00	1.00	1.00	1.00	1.00	0.73	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.96	1.00	1.00	1.00	0.70	1.00	1.00	1.00	1.00	0.92	0.96	0.60	0.91	0.96	0.96	1.00	1.00	1.00	1.00	1.00	1.00	0.96	1.00	1.00	1.00	0.75	0.96	1.00	1.00	1.00	1.00	0.96	0.96	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.48	1.00	1.00	1.00	1.00	1.00	
window	0.74	0.90	0.95	1.00	0.96	0.78	0.92	0.88	0.48	0.58	0.72	0.89	0.85	0.66	0.87	0.97	1.00	0.94	0.91	0.82	1.00	0.89	0.96	0.84	0.90	0.98	0.96	0.85	0.79	0.97	0.77	0.83	0.92	0.59	0.88	0.95	1.00	0.80	0.90	0.92	0.80	0.91	0.73	0.78	0.85	0.72	0.88	0.77	0.89	0.83	0.64	0.93	0.93	0.94	0.86	0.58	0.81	0.94	0.94	0.88	0.62	0.95	0.91	1.00	0.94	0.95	0.82	0.97	0.80	0.54	0.90	0.71	0.89	0.94	0.54	0.80	0.97	0.89	1.00	1.00	0.90	
zebra	0.90	0.47	1.00	1.00	1.00	1.00	1.00	1.00	0.96	1.00	1.00	0.93	1.00	0.92	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00	1.00	0.79	1.00	0.89	1.00	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00	0.88	0.95	1.00	1.00	1.00	1.00	1.00	1.00	0.92	1.00	0.93	0.91	1.00	0.90	0.96	1.00	0.93	1.00	1.00	1.00	0.96	1.00	1.00	1.00	1.00	1.00	1.00	0.95	0.95	1.00	1.00	1.00	0.91	0.92	1.00	1.00	1.00	0.90	1.00	
